0,CombatZoneResize,133,251,508,391,TLResume,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,1,,,,,,,
0,TLPause,,,,,,,,
0.2,BoneV,128,366,20,0,25,,,
0,BoneV,503,366,20,2,25,,,
1.5,BoneV,128,296,90,0,1000,2,,
0,BoneV,503,296,90,2,1000,2,,
0.3,BoneV,128,296,90,0,1000,1,,
0,BoneV,503,296,90,2,1000,1,,
0.2,BoneV,128,366,20,0,900,,,
0,BoneV,503,366,20,2,900,,,
0.15,BoneV,128,356,30,0,900,,,
0,BoneV,503,356,30,2,900,,,
0.15,BoneV,128,346,40,0,900,,,
0,BoneV,503,346,40,2,900,,,
0.15,BoneV,128,336,50,0,900,,,
0,BoneV,503,336,50,2,900,,,
0,BoneVRepeat,128,257,65,0,900,10,15,
0,BoneVRepeat,503,257,65,2,900,10,15,
0.1,BoneVRepeat,128,257,75,0,900,10,15,
0,BoneVRepeat,503,257,75,2,900,10,15,
0.1,BoneVRepeat,128,257,85,0,900,10,15,
0,BoneVRepeat,503,257,85,2,900,10,15,
0.1,BoneVRepeat,128,257,97,0,900,10,15,
0,BoneVRepeat,503,257,97,2,900,10,15,
0.1,BoneVRepeat,128,257,97,0,500,320,15,
0,BoneVRepeat,503,257,97,2,500,320,15,
1,BoneVRepeat,128,366,20,0,75,4,45,
0,BoneVRepeat,503,366,20,2,75,4,45,
0.1,BoneVRepeat,128,366,20,0,75,4,45,
0,BoneVRepeat,503,366,20,2,75,4,45,
0,GasterBlaster,4,0,0,289,166,90,0,2
0,GasterBlaster,4,640,480,349,446,270,0,2
3,GasterBlaster,4,0,0,179,166,90,0,1.7
0,GasterBlaster,4,640,480,459,446,270,0,1.7
1,BoneVRepeat,128,369,17,0,180,8,100,
0,BoneVRepeat,503,369,17,2,180,8,110,
2,GasterBlaster,4,0,0,299,166,90,0,2
0,GasterBlaster,4,640,480,339,446,270,0,2
0,GasterBlaster,4,0,0,249,166,90,0,2
0,GasterBlaster,4,640,480,369,446,270,0,2
4,EndAttack,,,,,,,,
