0,CombatZoneResize,133,251,508,391,TLResume,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,1,,,,,,,
0,TLPause,,,,,,,,
0,PlatformRepeat,15,346,61,0,120,13,150,
0.6,BoneVRepeat,133,356,40,0,250,270,15,
0.4,BoneVRepeat,133,326,60,0,150,25,100,
0,BoneVRepeat,508,256,70,2,150,25,100,
,,,,,,,,,
2,SET,Loop,3,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,SET,LX,$HeartX,,,,,,
0,SUB,LX,$LX,85,,,,,
0,SET,RX,$HeartX,,,,,,
0,ADD,RX,$RX,85,,,,,
0,GasterBlaster,3,$LX,0,$LX,125,90,0,0.5
0,GasterBlaster,3,$RX,0,$RX,125,90,0,0.5
5,JMPNZ,11,$Loop,,,,,,
0,GasterBlaster,1,0,326,100,326,0,0,0.35
0,GasterBlaster,1,640,326,540,326,180,0,0.35
0.2,BoneV,503,286,100,2,1000,1,,
0.1,BoneV,503,286,100,2,1000,2,,
0.1,BoneV,503,286,100,2,1000,2,,
0.1,BoneV,503,286,100,2,1000,2,,
0.1,BoneV,503,286,100,2,1000,1,,
0,BoneV,128,286,100,0,1000,1,,
0,BoneV,118,286,100,0,1000,1,,
0,BoneV,108,286,100,0,1000,1,,
0,BoneV,98,286,100,0,1000,1,,
0,BoneV,88,286,100,0,1000,1,,
0,BoneV,78,286,100,0,1000,1,,
0.3,BoneVRepeat,133,356,30,0,1000,7,15,
0,BoneVRepeat,133,256,80,0,1000,7,15,
1,EndAttack,,,,,,,,
